"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GPSC15_reference","GPSC17_reference","GPSC22_reference","GPSC25_reference","GPSC26_reference","GPSC32_reference","GPSC34_reference","GPSC37_reference","GPSC3_reference","GPSC4_reference","GPSC5_reference","GPSC8_reference","JYGP01","NC_017592"
"group_3354","","hypothetical protein","1","1","1","1","4256","92","15","","251","251","251","","","","","","","","","","","GPSC5_reference_01097","","",""
"group_3355","","hypothetical protein","1","1","1","1","4255","92","16","","302","302","302","","","","","","","","","","","GPSC5_reference_01098","","",""
"group_3356","","hypothetical protein","1","1","1","1","4254","92","17","","1346","1346","1346","","","","","","","","","","","GPSC5_reference_01099","","",""
"group_3357","btuD_2","Vitamin B12 import ATP-binding protein BtuD","1","1","1","1","4247","92","18","","917","917","917","","","","","","","","","","","GPSC5_reference_01100","","",""
"group_3358","","hypothetical protein","1","1","1","1","4248","92","19","","800","800","800","","","","","","","","","","","GPSC5_reference_01101","","",""
"group_3359","","IS200/IS605 family transposase ISSpn6","1","1","1","1","4249","92","20","","473","473","473","","","","","","","","","","","GPSC5_reference_01102","","",""
"group_3360","","hypothetical protein","1","1","1","1","4250","92","2","","257","257","257","","","","","","","","","","","GPSC5_reference_01103","","",""
"group_3361","xerC_8","Tyrosine recombinase XerC","1","1","1","1","4251","92","1","","1466","1466","1466","","","","","","","","","","","GPSC5_reference_01104","","",""
"group_3362","sarA_3","Oligopeptide-binding protein SarA","1","1","1","1","2967","45","4","","1961","1961","1961","","","","","","","","","","","GPSC5_reference_01432","","",""
"group_3363","smc_2","Chromosome partition protein Smc","1","1","1","1","754","1","1324","","3281","3281","3281","","","","","","","","","","","GPSC5_reference_01478","","",""
"group_3364","","hypothetical protein","1","1","1","1","725","1","1196","","233","233","233","","","","","","","","","","","GPSC5_reference_01486","","",""
"group_3365","","hypothetical protein","1","1","1","1","726","1","1209","","209","209","209","","","","","","","","","","","GPSC5_reference_01498","","",""
"group_3366","ssb_2","Single-stranded DNA-binding protein","1","1","1","1","2798","1","1222","","575","575","575","","","","","","","","","","","GPSC5_reference_01508","","",""
"group_3367","","hypothetical protein","1","1","1","1","2802","1","1190","","326","326","326","","","","","","","","","","","GPSC5_reference_01511","","",""
"group_3368","","hypothetical protein","1","1","1","1","2794","1","1191","","695","695","695","","","","","","","","","","","GPSC5_reference_01512","","",""
"group_3369","","hypothetical protein","1","1","1","1","2643","125","1","","368","368","368","","","","","","","","","","","GPSC5_reference_01608","","",""
"group_3370","","hypothetical protein","1","1","1","1","2414","560","1","","299","299","299","","","","","","","","","","","GPSC5_reference_01627","","",""
"group_3371","","hypothetical protein","1","1","1","1","1173","23","9","","89","89","89","","","","","","","","","","","GPSC5_reference_01981","","",""
"group_3372","","hypothetical protein","1","1","1","1","531","1","885","","461","461","461","","","","","","","","","","","GPSC5_reference_01987","","",""
"group_3373","","hypothetical protein","1","1","1","1","530","1","884","","110","110","110","","","","","","","","","","","GPSC5_reference_01988","","",""
"group_3374","","hypothetical protein","1","1","1","1","537","1","883","","758","758","758","","","","","","","","","","","GPSC5_reference_01989","","",""
"group_3375","","hypothetical protein","1","1","1","1","538","1","882","","218","218","218","","","","","","","","","","","GPSC5_reference_01990","","",""
"group_3376","","hypothetical protein","1","1","1","1","539","1","881","","683","683","683","","","","","","","","","","","GPSC5_reference_01991","","",""
"group_3377","","hypothetical protein","1","1","1","1","536","1","878","","782","782","782","","","","","","","","","","","GPSC5_reference_01994","","",""
"group_3378","","hypothetical protein","1","1","1","1","535","1","877","","203","203","203","","","","","","","","","","","GPSC5_reference_01995","","",""
"group_3379","","hypothetical protein","1","1","1","1","3451","16","8","","281","281","281","","","","","","","","","","","GPSC5_reference_02083","","",""
"group_338","","hypothetical protein","1","1","1","1","2129","1","935","","251","251","251","GPSC15_reference_00583","","","","","","","","","","","","",""
"group_3380","","hypothetical protein","1","1","1","1","3362","35","11","","2258","2258","2258","","","","","","","","","","","GPSC5_reference_02149","","",""
"group_3381","","hypothetical protein","1","1","1","1","3360","35","12","","1961","1961","1961","","","","","","","","","","","GPSC5_reference_02151","","",""
"group_3382","","hypothetical protein","1","1","1","1","3343","617","1","","440","440","440","","","","","","","","","","","GPSC5_reference_02171","","",""
"dnaG_2","","DNA primase","1","1","1","1","3342","617","2","","1973","1973","1973","","","","","","","","","","","GPSC5_reference_02172","","",""
"group_3384","","hypothetical protein","1","1","1","1","3341","617","3","","545","545","545","","","","","","","","","","","GPSC5_reference_02173","","",""
"xerC_11","","Tyrosine recombinase XerC","1","1","1","1","3340","617","4","","944","944","944","","","","","","","","","","","GPSC5_reference_02174","","",""
"soj","","Sporulation initiation inhibitor protein Soj","1","1","1","1","3339","617","5","","764","764","764","","","","","","","","","","","GPSC5_reference_02175","","",""
"group_3387","","hypothetical protein","1","1","1","1","3338","617","23","","263","263","263","","","","","","","","","","","GPSC5_reference_02176","","",""
"group_3388","","hypothetical protein","1","1","1","1","3337","617","22","","182","182","182","","","","","","","","","","","GPSC5_reference_02177","","",""
"group_3389","","hypothetical protein","1","1","1","1","3336","617","21","","554","554","554","","","","","","","","","","","GPSC5_reference_02178","","",""
"group_3390","","hypothetical protein","1","1","1","1","3335","617","20","","1454","1454","1454","","","","","","","","","","","GPSC5_reference_02179","","",""
"group_3391","","hypothetical protein","1","1","1","1","3334","617","19","","1085","1085","1085","","","","","","","","","","","GPSC5_reference_02180","","",""
"group_3392","","hypothetical protein","1","1","1","1","3333","617","18","","173","173","173","","","","","","","","","","","GPSC5_reference_02181","","",""
"group_3393","","hypothetical protein","1","1","1","1","3332","617","17","","752","752","752","","","","","","","","","","","GPSC5_reference_02182","","",""
"group_3394","","hypothetical protein","1","1","1","1","3331","617","16","","242","242","242","","","","","","","","","","","GPSC5_reference_02183","","",""
"group_3395","","hypothetical protein","1","1","1","1","3330","617","15","","293","293","293","","","","","","","","","","","GPSC5_reference_02184","","",""
"group_3396","","hypothetical protein","1","1","1","1","3329","617","14","","158","158","158","","","","","","","","","","","GPSC5_reference_02185","","",""
"group_3397","","hypothetical protein","1","1","1","1","3328","617","13","","350","350","350","","","","","","","","","","","GPSC5_reference_02186","","",""
"group_3398","","hypothetical protein","1","1","1","1","3327","617","12","","95","95","95","","","","","","","","","","","GPSC5_reference_02187","","",""
"repB","","Replication protein RepB","1","1","1","1","3325","617","10","","590","590","590","","","","","","","","","","","GPSC5_reference_02189","","",""
"group_34","","hypothetical protein","1","1","1","1","2114","1","950","","782","782","782","","","","","","","","","GPSC3_reference_00585","","","","",""
"group_3400","","hypothetical protein","1","1","1","1","3324","617","9","","146","146","146","","","","","","","","","","","GPSC5_reference_02190","","",""
"group_3401","","hypothetical protein","1","1","1","1","3323","617","8","","410","410","410","","","","","","","","","","","GPSC5_reference_02191","","",""
"group_3402","","hypothetical protein","1","1","1","1","3322","617","7","","350","350","350","","","","","","","","","","","GPSC5_reference_02192","","",""
"group_3403","","hypothetical protein","1","1","1","1","662","1","1104","","389","389","389","","","","","","","","","","","","GPSC8_reference_00028","",""
"group_3404","","hypothetical protein","1","1","1","1","657","1","1107","","203","203","203","","","","","","","","","","","","GPSC8_reference_00030","",""
"group_3405","","hypothetical protein","1","1","1","1","636","1","1112","","320","320","320","","","","","","","","","","","","GPSC8_reference_00034","",""
"group_3406","","hypothetical protein","1","1","1","1","637","1","1111","","299","299","299","","","","","","","","","","","","GPSC8_reference_00035","",""
"group_3407","","hypothetical protein","1","1","1","1","875","1","1077","","590","590","590","","","","","","","","","","","","GPSC8_reference_00046","",""
"group_3408","","hypothetical protein","1","1","1","1","874","1","1076","","161","161","161","","","","","","","","","","","","GPSC8_reference_00047","",""
"group_3409","","hypothetical protein","1","1","1","1","873","1","1075","","389","389","389","","","","","","","","","","","","GPSC8_reference_00048","",""
"group_3410","","hypothetical protein","1","1","1","1","872","1","1074","","236","236","236","","","","","","","","","","","","GPSC8_reference_00049","",""
"group_3411","","hypothetical protein","1","1","1","1","871","1","1073","","176","176","176","","","","","","","","","","","","GPSC8_reference_00050","",""
"group_3412","","hypothetical protein","1","1","1","1","782","1","1072","","230","230","230","","","","","","","","","","","","GPSC8_reference_00051","",""
"group_3413","","hypothetical protein","1","1","1","1","783","1","1071","","428","428","428","","","","","","","","","","","","GPSC8_reference_00052","",""
"group_3414","xerC_2","Tyrosine recombinase XerC","1","1","1","1","784","1","1070","","566","566","566","","","","","","","","","","","","GPSC8_reference_00053","",""
"group_3415","","hypothetical protein","1","1","1","1","785","1","1069","","344","344","344","","","","","","","","","","","","GPSC8_reference_00054","",""
"group_3416","","hypothetical protein","1","1","1","1","786","1","1068","","1304","1304","1304","","","","","","","","","","","","GPSC8_reference_00055","",""
"group_3417","","hypothetical protein","1","1","1","1","787","1","1067","","1391","1391","1391","","","","","","","","","","","","GPSC8_reference_00056","",""
"group_3418","","hypothetical protein","1","1","1","1","788","1","1066","","239","239","239","","","","","","","","","","","","GPSC8_reference_00057","",""
"group_3419","","hypothetical protein","1","1","1","1","789","1","1065","","230","230","230","","","","","","","","","","","","GPSC8_reference_00058","",""
"group_342","","hypothetical protein","1","1","1","1","255","29","5","","221","221","221","","GPSC17_reference_00477","","","","","","","","","","","",""
"group_3420","","hypothetical protein","1","1","1","1","790","1","1064","","1412","1412","1412","","","","","","","","","","","","GPSC8_reference_00059","",""
"group_3421","","hypothetical protein","1","1","1","1","791","1","1063","","464","464","464","","","","","","","","","","","","GPSC8_reference_00060","",""
"group_3422","","hypothetical protein","1","1","1","1","792","1","1062","","899","899","899","","","","","","","","","","","","GPSC8_reference_00061","",""
"group_3423","","hypothetical protein","1","1","1","1","793","1","1061","","212","212","212","","","","","","","","","","","","GPSC8_reference_00062","",""
"group_3424","","hypothetical protein","1","1","1","1","794","1","1341","","440","440","440","","","","","","","","","","","","GPSC8_reference_00063","",""
"group_3425","","hypothetical protein","1","1","1","1","795","1","1342","","338","338","338","","","","","","","","","","","","GPSC8_reference_00064","",""
"group_3426","","hypothetical protein","1","1","1","1","796","1","1343","","236","236","236","","","","","","","","","","","","GPSC8_reference_00065","",""
"group_3427","","hypothetical protein","1","1","1","1","797","1","1344","","335","335","335","","","","","","","","","","","","GPSC8_reference_00066","",""
"group_3428","","hypothetical protein","1","1","1","1","798","1","1345","","557","557","557","","","","","","","","","","","","GPSC8_reference_00067","",""
"group_3429","","hypothetical protein","1","1","1","1","799","1","1346","","275","275","275","","","","","","","","","","","","GPSC8_reference_00068","",""
"group_3430","","hypothetical protein","1","1","1","1","800","1","1347","","386","386","386","","","","","","","","","","","","GPSC8_reference_00069","",""
"group_3431","","hypothetical protein","1","1","1","1","801","1","1348","","2465","2465","2465","","","","","","","","","","","","GPSC8_reference_00070","",""
"group_3432","","hypothetical protein","1","1","1","1","802","1","1349","","698","698","698","","","","","","","","","","","","GPSC8_reference_00071","",""
"group_3433","","hypothetical protein","1","1","1","1","1721","51","8","","386","386","386","","","","","","","","","","","","GPSC8_reference_00131","",""
"group_3434","","hypothetical protein","1","1","1","1","1433","160","7","","275","275","275","","","","","","","","","","","","GPSC8_reference_00159","",""
"group_3435","","hypothetical protein","1","1","1","1","1458","3","36","","1916","1916","1916","","","","","","","","","","","","GPSC8_reference_00188","",""
"group_3436","","hypothetical protein","1","1","1","1","3632","7","18","","200","200","200","","","","","","","","","","","","GPSC8_reference_00230","",""
"group_3438","ywqC","putative capsular polysaccharide biosynthesis protein YwqC","1","1","1","1","1070","1","715","","692","692","692","","","","","","","","","","","","GPSC8_reference_00405","",""
"group_3439","cpsD","Tyrosine-protein kinase CpsD","1","1","1","1","1069","1","714","","674","674","674","","","","","","","","","","","","GPSC8_reference_00406","",""
"pglC","","Undecaprenyl phosphate N,N'-diacetylbacillosamine 1-phosphate transferase","1","1","1","1","1068","1","713","","593","593","593","","","","","","","","","","","","GPSC8_reference_00407","",""
"group_3441","","hypothetical protein","1","1","1","1","1067","1","712","","1226","1226","1226","","","","","","","","","","","","GPSC8_reference_00408","",""
"group_3442","","hypothetical protein","1","1","1","1","1066","1","711","","92","92","92","","","","","","","","","","","","GPSC8_reference_00409","",""
"group_3443","","hypothetical protein","1","1","1","1","1984","1","710","","1205","1205","1205","","","","","","","","","","","","GPSC8_reference_00410","",""
"group_3444","murJ_1","lipid II flippase MurJ","1","1","1","1","1985","1","709","","1469","1469","1469","","","","","","","","","","","","GPSC8_reference_00411","",""
"group_3445","","hypothetical protein","1","1","1","1","1986","1","708","","881","881","881","","","","","","","","","","","","GPSC8_reference_00412","",""
"group_3446","mshA","D-inositol-3-phosphate glycosyltransferase","1","1","1","1","1987","1","707","","1085","1085","1085","","","","","","","","","","","","GPSC8_reference_00413","",""
"group_3447","","hypothetical protein","1","1","1","1","1988","1","706","","806","806","806","","","","","","","","","","","","GPSC8_reference_00414","",""
"capD","","UDP-glucose 4-epimerase","1","1","1","1","1989","1","20","","1037","1037","1037","","","","","","","","","","","","GPSC8_reference_00415","",""
"group_3449","ugd_2","UDP-glucose 6-dehydrogenase","1","1","1","1","1990","1","21","","1211","1211","1211","","","","","","","","","","","","GPSC8_reference_00416","",""
"group_3450","","hypothetical protein","1","1","1","1","3226","105","3","","248","248","248","","","","","","","","","","","","GPSC8_reference_00576","",""
"group_3451","","hypothetical protein","1","1","1","1","1513","99","3","","140","140","140","","","","","","","","","","","","GPSC8_reference_00592","",""
"group_3453","","hypothetical protein","1","1","1","1","1530","633","1","","1316","1316","1316","","","","","","","","","","","","GPSC8_reference_00905","",""
"group_3454","","hypothetical protein","1","1","1","1","4592","1","470","","173","173","173","","","","","","","","","","","","GPSC8_reference_01024","",""
"group_3455","","hypothetical protein","1","1","1","1","4591","1","469","","809","809","809","","","","","","","","","","","","GPSC8_reference_01025","",""
"group_3456","","hypothetical protein","1","1","1","1","4590","1","468","","95","95","95","","","","","","","","","","","","GPSC8_reference_01026","",""
"group_3457","","hypothetical protein","1","1","1","1","4589","1","467","","1355","1355","1355","","","","","","","","","","","","GPSC8_reference_01027","",""
"group_3458","","hypothetical protein","1","1","1","1","4588","1","466","","428","428","428","","","","","","","","","","","","GPSC8_reference_01028","",""
"group_3459","","hypothetical protein","1","1","1","1","4587","1","465","","383","383","383","","","","","","","","","","","","GPSC8_reference_01029","",""
"group_346","","hypothetical protein","1","1","1","1","2069","84","3","","863","863","863","","","","","","GPSC32_reference_00700","","","","","","","",""
"group_3460","","hypothetical protein","1","1","1","1","4586","1","464","","233","233","233","","","","","","","","","","","","GPSC8_reference_01030","",""
"group_3461","","hypothetical protein","1","1","1","1","4585","1","463","","584","584","584","","","","","","","","","","","","GPSC8_reference_01031","",""
"group_3462","","hypothetical protein","1","1","1","1","4584","1","494","","524","524","524","","","","","","","","","","","","GPSC8_reference_01032","",""
"group_3463","","hypothetical protein","1","1","1","1","4583","1","495","","1781","1781","1781","","","","","","","","","","","","GPSC8_reference_01033","",""
"group_3464","","hypothetical protein","1","1","1","1","4582","1","496","","242","242","242","","","","","","","","","","","","GPSC8_reference_01034","",""
"group_3465","","hypothetical protein","1","1","1","1","4581","1","497","","854","854","854","","","","","","","","","","","","GPSC8_reference_01035","",""
"group_3466","","hypothetical protein","1","1","1","1","4580","1","498","","353","353","353","","","","","","","","","","","","GPSC8_reference_01036","",""
"group_3467","","hypothetical protein","1","1","1","1","4579","1","499","","788","788","788","","","","","","","","","","","","GPSC8_reference_01037","",""
"group_3468","","hypothetical protein","1","1","1","1","4578","1","500","","1544","1544","1544","","","","","","","","","","","","GPSC8_reference_01038","",""
"group_3469","","hypothetical protein","1","1","1","1","4577","1","501","","2801","2801","2801","","","","","","","","","","","","GPSC8_reference_01039","",""
"group_3470","","hypothetical protein","1","1","1","1","4576","1","502","","623","623","623","","","","","","","","","","","","GPSC8_reference_01040","",""
"group_3471","","hypothetical protein","1","1","1","1","4706","1","590","","536","536","536","","","","","","","","","","","","GPSC8_reference_01054","",""
"group_3472","","hypothetical protein","1","1","1","1","4724","1","487","","365","365","365","","","","","","","","","","","","GPSC8_reference_01083","",""
"group_3473","","hypothetical protein","1","1","1","1","4272","1","752","","938","938","938","","","","","","","","","","","","GPSC8_reference_01168","",""
"group_3474","","IS5 family transposase IS1381A","1","1","1","1","4271","1","753","","212","212","212","","","","","","","","","","","","GPSC8_reference_01169","",""
"group_3475","","hypothetical protein","1","1","1","1","4276","1","754","","374","374","374","","","","","","","","","","","","GPSC8_reference_01170","",""
"group_3476","","hypothetical protein","1","1","1","1","120","15","17","","332","332","332","","","","","","","","","","","","GPSC8_reference_01192","",""
"group_3477","","hypothetical protein","1","1","1","1","3157","1","222","","140","140","140","","","","","","","","","","","","GPSC8_reference_01225","",""
"group_3478","","hypothetical protein","1","1","1","1","354","1","248","","197","197","197","","","","","","","","","","","","GPSC8_reference_01230","",""
"group_3479","sasA_2","Adaptive-response sensory-kinase SasA","1","1","1","1","353","1","247","","1097","1097","1097","","","","","","","","","","","","GPSC8_reference_01231","",""
"group_3480","arlR_3","Response regulator ArlR","1","1","1","1","352","1","246","","683","683","683","","","","","","","","","","","","GPSC8_reference_01232","",""
"group_3481","","hypothetical protein","1","1","1","1","351","1","245","","707","707","707","","","","","","","","","","","","GPSC8_reference_01233","",""
"group_3482","","hypothetical protein","1","1","1","1","350","1","244","","791","791","791","","","","","","","","","","","","GPSC8_reference_01234","",""
"group_3483","bcrA_2","Bacitracin transport ATP-binding protein BcrA","1","1","1","1","349","1","243","","716","716","716","","","","","","","","","","","","GPSC8_reference_01235","",""
"lmrA_1","","Multidrug resistance ABC transporter ATP-binding and permease protein","1","1","1","1","482","1","242","","2222","2222","2222","","","","","","","","","","","","GPSC8_reference_01236","",""
"group_3485","","hypothetical protein","1","1","1","1","483","1","241","","251","251","251","","","","","","","","","","","","GPSC8_reference_01237","",""
"group_3486","","hypothetical protein","1","1","1","1","484","1","240","","1724","1724","1724","","","","","","","","","","","","GPSC8_reference_01238","",""
"group_3487","","hypothetical protein","1","1","1","1","485","1","239","","128","128","128","","","","","","","","","","","","GPSC8_reference_01239","",""
"group_3489","","hypothetical protein","1","1","1","1","2987","16","23","","272","272","272","","","","","","","","","","","","GPSC8_reference_01479","",""
"group_349","","hypothetical protein","1","1","1","1","3931","182","2","","110","110","110","","","","","","GPSC32_reference_00954","","","","","","","",""
"group_3490","","hypothetical protein","1","1","1","1","2937","151","4","","5957","5957","5957","","","","","","","","","","","","GPSC8_reference_01511","",""
"group_3491","","hypothetical protein","1","1","1","1","1872","168","1","","158","158","158","","","","","","","","","","","","GPSC8_reference_01606","",""
"group_3492","","hypothetical protein","1","1","1","1","2130","1","916","","248","248","248","","","","","","","","","","","","GPSC8_reference_01656","",""
"group_3493","","hypothetical protein","1","1","1","1","2311","586","1","","5432","5432","5432","","","","","","","","","","","","GPSC8_reference_01737","",""
"group_3494","xerD","Tyrosine recombinase XerD","1","1","1","1","2278","2","21","","1127","1127","1127","","","","","","","","","","","","GPSC8_reference_01756","",""
"group_3495","","hypothetical protein","1","1","1","1","2220","2","27","","263","263","263","","","","","","","","","","","","GPSC8_reference_01759","",""
"group_3496","","hypothetical protein","1","1","1","1","2219","2","28","","1307","1307","1307","","","","","","","","","","","","GPSC8_reference_01760","",""
"group_3497","","IS5 family transposase ISSpn7","1","1","1","1","1127","15","14","","284","284","284","","","","","","","","","","","","GPSC8_reference_02039","",""
"group_3498","","hypothetical protein","1","1","1","1","1132","15","13","","476","476","476","","","","","","","","","","","","GPSC8_reference_02040","",""
"group_3499","yqgN","putative protein YqgN","1","1","1","1","584","106","1","","539","539","539","","","","","","","","","","","","GPSC8_reference_02103","",""
"group_3501","","hypothetical protein","1","1","1","1","3388","1","913","","203","203","203","","","","","","","","","","","","GPSC8_reference_02179","",""
"group_3502","","hypothetical protein","1","1","1","1","3358","35","16","","2078","2078","2078","","","","","","","","","","","","GPSC8_reference_02213","",""
"group_3504","","hypothetical protein","1","1","1","1","1795","508","1","","236","236","236","","","","","","","","","","","","","JYGP01_00006",""
"group_3505","","hypothetical protein","1","1","1","1","1792","536","1","","572","572","572","","","","","","","","","","","","","JYGP01_00010",""
"group_3506","","hypothetical protein","1","1","1","1","1784","66","1","","923","923","923","","","","","","","","","","","","","JYGP01_00015",""
"group_3507","","hypothetical protein","1","1","1","1","1783","66","2","","1058","1058","1058","","","","","","","","","","","","","JYGP01_00016",""
"group_3508","","hypothetical protein","1","1","1","1","1782","66","3","","980","980","980","","","","","","","","","","","","","JYGP01_00017",""
"group_3509","","hypothetical protein","1","1","1","1","1781","66","4","","1463","1463","1463","","","","","","","","","","","","","JYGP01_00018",""
"group_3510","","hypothetical protein","1","1","1","1","1780","66","5","","1550","1550","1550","","","","","","","","","","","","","JYGP01_00019",""
"group_3511","","hypothetical protein","1","1","1","1","1779","66","6","","221","221","221","","","","","","","","","","","","","JYGP01_00020",""
"group_3512","","hypothetical protein","1","1","1","1","1392","295","1","","1178","1178","1178","","","","","","","","","","","","","JYGP01_00029",""
"group_3513","","hypothetical protein","1","1","1","1","1391","295","2","","869","869","869","","","","","","","","","","","","","JYGP01_00030",""
"group_3514","","hypothetical protein","1","1","1","1","1400","295","3","","1244","1244","1244","","","","","","","","","","","","","JYGP01_00031",""
"group_3515","","hypothetical protein","1","1","1","1","1401","295","9","","1346","1346","1346","","","","","","","","","","","","","JYGP01_00032",""
"group_3516","agrA_1","Accessory gene regulator protein A","1","1","1","1","1402","295","8","","731","731","731","","","","","","","","","","","","","JYGP01_00033",""
"group_3517","","hypothetical protein","1","1","1","1","1403","295","7","","197","197","197","","","","","","","","","","","","","JYGP01_00034",""
"group_3518","","hypothetical protein","1","1","1","1","1404","295","6","","155","155","155","","","","","","","","","","","","","JYGP01_00035",""
"group_3519","","hypothetical protein","1","1","1","1","1405","295","5","","179","179","179","","","","","","","","","","","","","JYGP01_00036",""
"group_3520","","hypothetical protein","1","1","1","1","1406","295","4","","206","206","206","","","","","","","","","","","","","JYGP01_00037",""
"group_3521","purN","Phosphoribosylglycinamide formyltransferase","1","1","1","1","1757","413","2","","551","551","551","","","","","","","","","","","","","JYGP01_00044",""
"bltD","","Spermine/spermidine acetyltransferase","1","1","1","1","1408","413","1","","464","464","464","","","","","","","","","","","","","JYGP01_00045",""
"group_3523","purD","Phosphoribosylamine--glycine ligase","1","1","1","1","1751","476","1","","1265","1265","1265","","","","","","","","","","","","","JYGP01_00047",""
"group_3524","","hypothetical protein","1","1","1","1","1411","326","3","","1037","1037","1037","","","","","","","","","","","","","JYGP01_00050",""
"group_3525","","hypothetical protein","1","1","1","1","1410","326","2","","140","140","140","","","","","","","","","","","","","JYGP01_00051",""
"group_3526","","hypothetical protein","1","1","1","1","1409","326","1","","611","611","611","","","","","","","","","","","","","JYGP01_00052",""
"group_3527","gamR","HTH-type transcriptional repressor GamR","1","1","1","1","1743","458","1","","716","716","716","","","","","","","","","","","","","JYGP01_00054",""
"group_3528","manX_1","PTS system mannose-specific EIIAB component","1","1","1","1","1737","484","1","","404","404","404","","","","","","","","","","","","","JYGP01_00059",""
"group_3529","","hypothetical protein","1","1","1","1","1418","293","1","","1196","1196","1196","","","","","","","","","","","","","JYGP01_00062",""
"group_3530","","hypothetical protein","1","1","1","1","1417","293","2","","713","713","713","","","","","","","","","","","","","JYGP01_00063",""
"neuA","","N-acylneuraminate cytidylyltransferase","1","1","1","1","1416","293","3","","704","704","704","","","","","","","","","","","","","JYGP01_00064",""
"lst","","CMP-N-acetylneuraminate:beta-galactoside alpha-2,3-sialyltransferase","1","1","1","1","1415","293","4","","878","878","878","","","","","","","","","","","","","JYGP01_00065",""
"group_3533","","hypothetical protein","1","1","1","1","1414","293","5","","1319","1319","1319","","","","","","","","","","","","","JYGP01_00066",""
"group_3534","catE","Catechol-2,3-dioxygenase","1","1","1","1","1412","293","7","","854","854","854","","","","","","","","","","","","","JYGP01_00068",""
"group_3535","maa","Maltose O-acetyltransferase","1","1","1","1","1713","293","8","","557","557","557","","","","","","","","","","","","","JYGP01_00069",""
"group_3536","","hypothetical protein","1","1","1","1","1714","293","9","","683","683","683","","","","","","","","","","","","","JYGP01_00070",""
"group_3537","","hypothetical protein","1","1","1","1","1715","293","10","","776","776","776","","","","","","","","","","","","","JYGP01_00071",""
"group_3538","","hypothetical protein","1","1","1","1","1716","293","11","","1232","1232","1232","","","","","","","","","","","","","JYGP01_00072",""
"group_3539","","hypothetical protein","1","1","1","1","1717","293","15","","233","233","233","","","","","","","","","","","","","JYGP01_00073",""
"group_3540","lnrL","Linearmycin resistance ATP-binding protein LnrL","1","1","1","1","1718","293","14","","716","716","716","","","","","","","","","","","","","JYGP01_00074",""
"ybhR","","putative multidrug ABC transporter permease YbhR","1","1","1","1","1719","293","13","","1082","1082","1082","","","","","","","","","","","","","JYGP01_00075",""
"betI_1","","HTH-type transcriptional regulator BetI","1","1","1","1","1720","293","12","","623","623","623","","","","","","","","","","","","","JYGP01_00076",""
"group_3543","ktrB","Ktr system potassium uptake protein B","1","1","1","1","1724","20","11","","1379","1379","1379","","","","","","","","","","","","","JYGP01_00078",""
"group_3544","ktrA","Ktr system potassium uptake protein A","1","1","1","1","1723","20","12","","665","665","665","","","","","","","","","","","","","JYGP01_00079",""
"group_3545","","hypothetical protein","1","1","1","1","1426","20","15","","1817","1817","1817","","","","","","","","","","","","","JYGP01_00081",""
"group_3546","saeR","Response regulator SaeR","1","1","1","1","1427","20","14","","698","698","698","","","","","","","","","","","","","JYGP01_00082",""
"group_3547","saeS","Histidine protein kinase SaeS","1","1","1","1","1428","20","13","","1052","1052","1052","","","","","","","","","","","","","JYGP01_00083",""
"group_3548","","hypothetical protein","1","1","1","1","1425","1","259","","266","266","266","","","","","","","","","","","","","JYGP01_00085",""
"group_3549","","hypothetical protein","1","1","1","1","1424","1","260","","269","269","269","","","","","","","","","","","","","JYGP01_00086",""
"group_3550","","hypothetical protein","1","1","1","1","1423","1","261","","242","242","242","","","","","","","","","","","","","JYGP01_00087",""
"group_3551","","hypothetical protein","1","1","1","1","1422","1","262","","227","227","227","","","","","","","","","","","","","JYGP01_00088",""
"group_3552","","hypothetical protein","1","1","1","1","3312","1","263","","95","95","95","","","","","","","","","","","","","JYGP01_00089",""
"group_3553","","hypothetical protein","1","1","1","1","3313","1","264","","806","806","806","","","","","","","","","","","","","JYGP01_00090",""
"group_3554","","hypothetical protein","1","1","1","1","3314","1","265","","1247","1247","1247","","","","","","","","","","","","","JYGP01_00091",""
"group_3555","","hypothetical protein","1","1","1","1","3309","1","320","","320","320","320","","","","","","","","","","","","","JYGP01_00094",""
"group_3556","","hypothetical protein","1","1","1","1","3308","1","319","","257","257","257","","","","","","","","","","","","","JYGP01_00095",""
"group_3557","","hypothetical protein","1","1","1","1","3307","1","318","","584","584","584","","","","","","","","","","","","","JYGP01_00096",""
"group_3558","","hypothetical protein","1","1","1","1","3306","1","317","","383","383","383","","","","","","","","","","","","","JYGP01_00097",""
"group_3559","xerC_1","Tyrosine recombinase XerC","1","1","1","1","3305","1","316","","1265","1265","1265","","","","","","","","","","","","","JYGP01_00098",""
"group_3560","","hypothetical protein","1","1","1","1","3304","1","315","","260","260","260","","","","","","","","","","","","","JYGP01_00099",""
"group_3561","","hypothetical protein","1","1","1","1","3303","1","314","","644","644","644","","","","","","","","","","","","","JYGP01_00100",""
"group_3562","","hypothetical protein","1","1","1","1","3302","1","313","","140","140","140","","","","","","","","","","","","","JYGP01_00101",""
"group_3563","","hypothetical protein","1","1","1","1","3301","1","312","","605","605","605","","","","","","","","","","","","","JYGP01_00102",""
"group_3564","","hypothetical protein","1","1","1","1","3399","1","311","","1076","1076","1076","","","","","","","","","","","","","JYGP01_00103",""
