"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","AP023349","GPSC10_reference","GPSC11_reference","GPSC13_reference","GPSC14_reference","GPSC15_reference","GPSC16_reference","GPSC17_reference","GPSC18_reference","GPSC19_reference","GPSC1_reference","GPSC21_reference","GPSC22_reference","GPSC23_reference","GPSC25_reference","GPSC26_reference","GPSC27_reference","GPSC2_reference","GPSC30_reference","GPSC31_reference","GPSC32_reference","GPSC33_reference","GPSC34_reference","GPSC37_reference","GPSC3_reference","GPSC40_reference","GPSC43_reference","GPSC47_reference","GPSC4_reference","GPSC5_reference","GPSC6_reference","GPSC7_reference","GPSC8_reference","GPSC9_reference","NC_017592"
"group_3438","mta","HTH-type transcriptional activator mta","1","1","1","1","2","1","1002","","740","740","740","AP023349_01473","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3439","bglH_2","Aryl-phospho-beta-D-glucosidase BglH","1","1","1","1","5556","73","1","","1439","1439","1439","AP023349_01476","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3440","","hypothetical protein","1","1","1","1","5555","73","2","","191","191","191","AP023349_01477","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"yknY_4","","putative ABC transporter ATP-binding protein YknY","1","1","1","1","5554","73","3","","635","635","635","AP023349_01478","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3442","","hypothetical protein","1","1","1","1","30","73","4","","1169","1169","1169","AP023349_01479","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3443","","hypothetical protein","1","1","1","1","31","73","6","","749","749","749","AP023349_01480","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3444","","hypothetical protein","1","1","1","1","32","73","5","","302","302","302","AP023349_01481","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3445","pacS","putative copper-transporting ATPase PacS","1","1","1","1","33","186","1","","2243","2243","2243","AP023349_01483","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3446","copY","Transcriptional repressor CopY","1","1","1","1","34","260","1","","395","395","395","AP023349_01485","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3447","","hypothetical protein","1","1","1","1","2684","250","1","","404","404","404","AP023349_01495","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3448","divIB","Cell division protein DivIB","1","1","1","1","2683","247","1","","1244","1244","1244","AP023349_01498","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3449","rsuA_1","Ribosomal small subunit pseudouridine synthase A","1","1","1","1","2701","33","2","","725","725","725","AP023349_01505","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_345","","hypothetical protein","1","1","1","1","4758","4","21","","269","269","269","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NC_017592_01166"
"group_3450","comA","Transcriptional regulatory protein ComA","1","1","1","1","2715","75","1","","596","596","596","AP023349_01508","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3451","","hypothetical protein","1","1","1","1","2714","75","2","","1574","1574","1574","AP023349_01509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3452","","hypothetical protein","1","1","1","1","2702","75","3","","2015","2015","2015","AP023349_01510","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bceA_2","","Bacitracin export ATP-binding protein BceA","1","1","1","1","2703","75","4","","737","737","737","AP023349_01511","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3454","","hypothetical protein","1","1","1","1","2704","75","5","","107","107","107","AP023349_01512","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3455","","hypothetical protein","1","1","1","1","2705","75","6","","107","107","107","AP023349_01513","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3456","","putative oxidoreductase","1","1","1","1","2706","165","2","","755","755","755","AP023349_01515","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3457","","hypothetical protein","1","1","1","1","2708","276","1","","401","401","401","AP023349_01519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3458","","hypothetical protein","1","1","1","1","5397","218","1","","434","434","434","AP023349_01524","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3459","","hypothetical protein","1","1","1","1","5404","84","3","","1034","1034","1034","AP023349_01526","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3460","menH","2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase","1","1","1","1","5403","84","4","","617","617","617","AP023349_01527","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3461","menF","Isochorismate synthase MenF","1","1","1","1","5402","84","2","","1721","1721","1721","AP023349_01528","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3462","","hypothetical protein","1","1","1","1","5401","84","1","","5870","5870","5870","AP023349_01529","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3463","","hypothetical protein","1","1","1","1","5376","161","1","","92","92","92","AP023349_01531","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3464","","hypothetical protein","1","1","1","1","5377","161","2","","1691","1691","1691","AP023349_01532","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3465","resA_2","Thiol-disulfide oxidoreductase ResA","1","1","1","1","2957","95","3","","563","563","563","AP023349_01535","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3466","dsbD_2","Thiol:disulfide interchange protein DsbD","1","1","1","1","2958","95","2","","710","710","710","AP023349_01536","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3467","","hypothetical protein","1","1","1","1","2959","95","1","","551","551","551","AP023349_01537","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3469","","Acetyltransferase","1","1","1","1","2952","123","1","","410","410","410","AP023349_01542","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"leuB_2","","3-isopropylmalate dehydrogenase","1","1","1","1","4716","4","24","","155","155","155","","","","","","","","","","","","","","","","","GPSC27_reference_01193","","","","","","","","","","","","","","","","","",""
"serP2","","DL-alanine permease SerP2","1","1","1","1","2951","123","2","","1337","1337","1337","AP023349_01543","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3471","","hypothetical protein","1","1","1","1","5256","164","2","","494","494","494","AP023349_01546","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3472","","hypothetical protein","1","1","1","1","5283","164","1","","461","461","461","AP023349_01547","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3473","","hypothetical protein","1","1","1","1","5284","22","7","","617","617","617","AP023349_01549","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3474","","hypothetical protein","1","1","1","1","5288","22","4","","1112","1112","1112","AP023349_01551","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3475","patB","Cystathionine beta-lyase PatB","1","1","1","1","5287","22","3","","1166","1166","1166","AP023349_01552","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3476","","hypothetical protein","1","1","1","1","5254","103","2","","455","455","455","AP023349_01554","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3477","sarA_3","Oligopeptide-binding protein SarA","1","1","1","1","5299","103","3","","1958","1958","1958","AP023349_01555","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3478","murJ","Lipid II flippase MurJ","1","1","1","1","5300","103","1","","1625","1625","1625","AP023349_01556","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3479","","hypothetical protein","1","1","1","1","5248","19","4","","650","650","650","AP023349_01559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3480","","hypothetical protein","1","1","1","1","5249","19","3","","512","512","512","AP023349_01560","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3481","","hypothetical protein","1","1","1","1","5308","262","1","","296","296","296","AP023349_01562","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3482","yugI","General stress protein 13","1","1","1","1","5246","172","1","","359","359","359","AP023349_01564","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3483","","hypothetical protein","1","1","1","1","5247","183","1","","503","503","503","AP023349_01566","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3484","","hypothetical protein","1","1","1","1","5315","21","9","","1754","1754","1754","AP023349_01571","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3485","","hypothetical protein","1","1","1","1","5316","21","10","","785","785","785","AP023349_01572","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3486","","hypothetical protein","1","1","1","1","5317","21","11","","2531","2531","2531","AP023349_01573","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3487","","hypothetical protein","1","1","1","1","5320","21","2","","365","365","365","AP023349_01576","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3488","aspB","Asparagine--oxo-acid transaminase","1","1","1","1","5319","21","1","","1187","1187","1187","AP023349_01577","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3489","","hypothetical protein","1","1","1","1","5243","143","2","","509","509","509","AP023349_01579","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3490","","hypothetical protein","1","1","1","1","5242","143","1","","728","728","728","AP023349_01580","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3491","","hypothetical protein","1","1","1","1","5240","82","1","","629","629","629","AP023349_01582","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3492","","hypothetical protein","1","1","1","1","5239","82","4","","10181","10181","10181","AP023349_01583","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3493","yaaA","Peroxide stress resistance protein YaaA","1","1","1","1","5233","82","3","","728","728","728","AP023349_01584","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3494","","hypothetical protein","1","1","1","1","5234","82","2","","164","164","164","AP023349_01585","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3495","def_2","Peptide deformylase","1","1","1","1","5337","239","1","","410","410","410","AP023349_01587","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3496","","hypothetical protein","1","1","1","1","5351","114","1","","779","779","779","AP023349_01596","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3497","cdaA","Cyclic di-AMP synthase CdaA","1","1","1","1","5352","114","2","","857","857","857","AP023349_01597","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3498","","hypothetical protein","1","1","1","1","5350","105","1","","215","215","215","AP023349_01599","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3499","","hypothetical protein","1","1","1","1","5349","105","2","","575","575","575","AP023349_01600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3500","","hypothetical protein","1","1","1","1","5058","105","3","","95","95","95","AP023349_01601","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3502","COQ5_1","2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial","1","1","1","1","5369","283","1","","758","758","758","AP023349_01617","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3503","","Sulfurtransferase","1","1","1","1","5745","232","1","","287","287","287","AP023349_01624","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3504","femA","Aminoacyltransferase FemA","1","1","1","1","5732","29","1","","1166","1166","1166","AP023349_01631","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3506","rnj2","Ribonuclease J 2","1","1","1","1","5727","197","1","","1661","1661","1661","AP023349_01634","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3507","lrp","Leucine-rich protein","1","1","1","1","896","249","1","","869","869","869","AP023349_01642","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"mshC","","L-cysteine:1D-myo-inositol 2-amino-2-deoxy-alpha-D-glucopyranoside ligase","1","1","1","1","875","116","1","","1940","1940","1940","AP023349_01644","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"mshD","","Mycothiol acetyltransferase","1","1","1","1","874","116","2","","884","884","884","AP023349_01645","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3510","","hypothetical protein","1","1","1","1","877","91","1","","362","362","362","AP023349_01650","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3511","","hypothetical protein","1","1","1","1","876","91","2","","410","410","410","AP023349_01651","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3512","","hypothetical protein","1","1","1","1","1352","91","3","","1730","1730","1730","AP023349_01652","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3513","","hypothetical protein","1","1","1","1","1353","91","4","","329","329","329","AP023349_01653","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3514","scrB","Sucrose-6-phosphate hydrolase","1","1","1","1","1350","40","1","","1454","1454","1454","AP023349_01658","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3515","","hypothetical protein","1","1","1","1","1345","275","1","","311","311","311","AP023349_01662","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3516","rsmB","Ribosomal RNA small subunit methyltransferase B","1","1","1","1","1407","121","2","","788","788","788","AP023349_01667","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"nusB_1","","Transcription antitermination protein NusB","1","1","1","1","1406","121","1","","461","461","461","AP023349_01668","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3518","tmcAL","tRNA(Met) cytidine acetate ligase","1","1","1","1","1342","7","12","","1097","1097","1097","AP023349_01676","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3519","","hypothetical protein","1","1","1","1","1428","254","1","","905","905","905","AP023349_01684","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3521","secA_2","Protein translocase subunit SecA","1","1","1","1","1516","2","101","","2372","2372","2372","AP023349_01693","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3522","asp3","Accessory Sec system protein Asp3","1","1","1","1","1515","2","100","","440","440","440","AP023349_01694","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3523","asp2","Accessory Sec system protein Asp2","1","1","1","1","1514","2","99","","1535","1535","1535","AP023349_01695","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"asp1_1","","Accessory Sec system protein Asp1","1","1","1","1","1513","2","98","","821","821","821","AP023349_01696","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"asp1_2","","Accessory Sec system protein Asp1","1","1","1","1","1512","2","97","","761","761","761","AP023349_01697","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3526","secY_2","Protein translocase subunit SecY","1","1","1","1","1511","2","96","","1217","1217","1217","AP023349_01698","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3527","","hypothetical protein","1","1","1","1","1510","2","95","","875","875","875","AP023349_01699","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3528","","hypothetical protein","1","1","1","1","1509","2","94","","1244","1244","1244","AP023349_01700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3529","arnC","Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase","1","1","1","1","1508","2","93","","593","593","593","AP023349_01701","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3530","glyG_2","Glycosyltransferase GlyG","1","1","1","1","1507","2","92","","884","884","884","AP023349_01702","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3531","glyG_3","Glycosyltransferase GlyG","1","1","1","1","1506","2","91","","908","908","908","AP023349_01703","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3532","gtfB_2","UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase stabilizing protein GtfB","1","1","1","1","1505","2","90","","2063","2063","2063","AP023349_01704","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3533","glyD","Glycosyltransferase GlyD","1","1","1","1","1504","2","89","","1202","1202","1202","AP023349_01705","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3534","gtf3","Glucosyltransferase 3","1","1","1","1","1503","2","88","","944","944","944","AP023349_01706","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3535","","hypothetical protein","1","1","1","1","1502","2","87","","236","236","236","AP023349_01707","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3536","glyG_4","Glycosyltransferase GlyG","1","1","1","1","1501","2","86","","665","665","665","AP023349_01708","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3537","","hypothetical protein","1","1","1","1","1500","2","85","","875","875","875","AP023349_01709","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"glyG_5","","Glycosyltransferase GlyG","1","1","1","1","1499","2","84","","875","875","875","AP023349_01710","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3539","gtfB_3","UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase stabilizing protein GtfB","1","1","1","1","1498","2","83","","878","878","878","AP023349_01711","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_354","","hypothetical protein","1","1","1","1","4082","1","1058","","680","680","680","","","","","","","","","","","","","","","","","","","","","","GPSC33_reference_02071","","","","","","","","","","","","",""
"gtfB_4","","UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase stabilizing protein GtfB","1","1","1","1","1497","2","82","","2084","2084","2084","AP023349_01712","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3541","","hypothetical protein","1","1","1","1","1496","2","81","","5630","5630","5630","AP023349_01713","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3542","","hypothetical protein","1","1","1","1","1495","2","80","","8339","8339","8339","AP023349_01714","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3543","","hypothetical protein","1","1","1","1","1494","2","79","","293","293","293","AP023349_01715","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3544","","putative protein","1","1","1","1","3598","141","1","","389","389","389","AP023349_01722","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"nusB_2","","Transcription antitermination protein NusB","1","1","1","1","3607","141","2","","425","425","425","AP023349_01723","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3546","accB","Biotin carboxyl carrier protein of acetyl-CoA carboxylase","1","1","1","1","3608","236","1","","485","485","485","AP023349_01728","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3547","fabG","3-oxoacyl-[acyl-carrier-protein] reductase FabG","1","1","1","1","3609","133","2","","731","731","731","AP023349_01730","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3548","fabD","Malonyl CoA-acyl carrier protein transacylase","1","1","1","1","3624","133","1","","923","923","923","AP023349_01731","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3549","","hypothetical protein","1","1","1","1","3616","154","1","","899","899","899","AP023349_01740","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_355","","hypothetical protein","1","1","1","1","723","1","1055","","869","869","869","","","","","","","","GPSC17_reference_02092","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3550","","hypothetical protein","1","1","1","1","3615","154","2","","548","548","548","AP023349_01741","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3551","","hypothetical protein","1","1","1","1","3084","213","1","","1184","1184","1184","AP023349_01751","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3552","fni","Isopentenyl-diphosphate delta-isomerase","1","1","1","1","4208","144","1","","1010","1010","1010","AP023349_01755","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3553","","Phosphomevalonate kinase","1","1","1","1","4209","144","2","","1007","1007","1007","AP023349_01756","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3554","galK_2","Galactokinase","1","1","1","1","4196","93","3","","878","878","878","AP023349_01759","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3555","","hypothetical protein","1","1","1","1","4197","93","2","","917","917","917","AP023349_01760","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3556","arlR_3","Response regulator ArlR","1","1","1","1","4198","93","1","","689","689","689","AP023349_01761","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gnd_2","","6-phosphogluconate dehydrogenase, decarboxylating","1","1","1","1","4199","112","2","","125","125","125","AP023349_01763","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_356","","hypothetical protein","1","1","1","1","726","1","1057","","620","620","620","","","","","","","","","","","","","","","","","","","","","","GPSC33_reference_02072","","","","","","","","","","","","",""
"sarA_4","","Oligopeptide-binding protein SarA","1","1","1","1","267","1","1301","","1979","1979","1979","AP023349_01771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"sarA_5","","Oligopeptide-binding protein SarA","1","1","1","1","210","1","1241","","1958","1958","1958","AP023349_01773","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"sarA_6","","Oligopeptide-binding protein SarA","1","1","1","1","211","1","1240","","1967","1967","1967","AP023349_01774","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3563","ftsL","Cell division protein FtsL","1","1","1","1","181","1","3068","","317","317","317","AP023349_01782","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3564","","hypothetical protein","1","1","1","1","782","1","1519","","542","542","542","AP023349_01785","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3565","","hypothetical protein","1","1","1","1","781","1","1520","","326","326","326","AP023349_01786","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3566","","hypothetical protein","1","1","1","1","780","1","1521","","326","326","326","AP023349_01787","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3567","bsaA","Glutathione peroxidase BsaA","1","1","1","1","778","1","1518","","476","476","476","AP023349_01789","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dtpT","","Di-/tripeptide transporter","1","1","1","1","777","1","1517","","1472","1472","1472","AP023349_01790","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3569","","hypothetical protein","1","1","1","1","4170","1","1514","","644","644","644","AP023349_01793","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3570","","hypothetical protein","1","1","1","1","4171","1","1513","","1565","1565","1565","AP023349_01794","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"melC","","Melibiose/raffinose/stachyose import permease protein MelC","1","1","1","1","4172","1","2226","","896","896","896","AP023349_01795","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"yteP","","putative multiple-sugar transport system permease YteP","1","1","1","1","4173","1","2227","","917","917","917","AP023349_01796","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3586","","hypothetical protein","1","1","1","1","820","1","1480","","1124","1124","1124","AP023349_01822","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3587","rhaS","HTH-type transcriptional activator RhaS","1","1","1","1","821","1","1481","","1538","1538","1538","AP023349_01823","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3588","fpgS_2","Folylpolyglutamate synthase","1","1","1","1","1908","187","1","","1322","1322","1322","AP023349_01837","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3589","rsuA_2","Ribosomal small subunit pseudouridine synthase A","1","1","1","1","2193","104","1","","722","722","722","AP023349_01847","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3592","","hypothetical protein","1","1","1","1","2187","30","1","","677","677","677","AP023349_01851","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3593","desK","Sensor histidine kinase DesK","1","1","1","1","5915","1","1832","","1097","1097","1097","AP023349_01858","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3594","btuD_5","Vitamin B12 import ATP-binding protein BtuD","1","1","1","1","5913","1","1835","","884","884","884","AP023349_01860","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3595","","hypothetical protein","1","1","1","1","5912","1","1813","","194","194","194","AP023349_01861","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3597","","ISL3 family transposase ISSg1","1","1","1","1","5908","1","1812","","338","338","338","AP023349_01863","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3598","","hypothetical protein","1","1","1","1","5830","271","1","","479","479","479","AP023349_01887","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"mtgA_1","","Biosynthetic peptidoglycan transglycosylase","1","1","1","1","5932","130","1","","602","602","602","AP023349_01891","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_360","","putative ABC transporter ATP-binding protein","1","1","1","1","5690","5","6","","353","353","353","","","","","","","","","","","","","GPSC22_reference_01756","","","","","","","","","","","","","","","","","","","","","",""
"group_3600","","hypothetical protein","1","1","1","1","5933","130","2","","875","875","875","AP023349_01892","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"yxdL_4","","ABC transporter ATP-binding protein YxdL","1","1","1","1","5828","3","33","","683","683","683","AP023349_01895","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3602","","hypothetical protein","1","1","1","1","5827","3","32","","920","920","920","AP023349_01896","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3603","","hypothetical protein","1","1","1","1","5962","230","1","","299","299","299","AP023349_01900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3604","","hypothetical protein","1","1","1","1","5975","163","1","","623","623","623","AP023349_01902","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3605","","hypothetical protein","1","1","1","1","5976","163","2","","989","989","989","AP023349_01903","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3606","ackA","Acetate kinase","1","1","1","1","5978","243","1","","1190","1190","1190","AP023349_01906","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3607","","hypothetical protein","1","1","1","1","5802","1","1616","","851","851","851","AP023349_01909","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_3608","","hypothetical protein","1","1","1","1","5785","176","1","","323","323","323","AP023349_01912","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
